rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU2804	84.50605405262377	-0.41072616456118644	0.19890217187673093	-2.064965709955811	0.0389262448765711	0.0881170613834972
TU3088	104.60412462399721	-0.40312089117723066	0.19520351576251369	-2.065131304641414	0.03891057815007393	0.0881170613834972
TU133	28.14886625980131	-0.6732222149494049	0.32627381807526235	-2.063365730418832	0.039077893332719466	0.08839766346595197
TU2020	26.964212988326764	0.745868657229458	0.36151183367011636	2.0631929241632285	0.03909430215144247	0.08839766346595197
TU8041	4.00170233954171	-1.8779235697265513	0.9107516128925449	-2.0619492111161577	0.039212571629095874	0.08861510691152501
TU3700	382.5777283224336	0.2690387575968187	0.13057069349265943	2.0604834852312695	0.03935234305335555	0.08888086946529712
TU2206	49.28643008361681	0.46098662636886684	0.223792156464793	2.0598873242520868	0.03940931377464858	0.08891148050268192
TU5091	138.20995073949382	-0.373518570036963	0.18133047623113907	-2.0598775109422025	0.03941025214598797	0.08891148050268192
TU2843	33.08140027761747	0.5409274815634758	0.26287501469658403	2.05773638163302	0.03961544595213172	0.0893241410697953
TU139	76998.20214536632	0.3639125915399961	0.1770185857314864	2.055787475852976	0.03980300574660615	0.08969659923448232
TU731	25.806628515687358	0.6985973286029767	0.3398785077746134	2.0554324931491217	0.03983724975208423	0.08972333385174476
TU2418	135.47850105627091	0.3801945816942829	0.18502891276737038	2.0547847144964133	0.039899803244518424	0.08976336206917754
TU687	25.83492057525844	-0.7441735452113172	0.36213590399139944	-2.0549565425829495	0.03988320235164613	0.08976336206917754
TU1900	15.4463649554869	-0.8847073951869411	0.4308912475153418	-2.053203448175032	0.04005285014505508	0.08999467185007035
TU2162	350.86068501850343	0.26525653702062496	0.1292026577836273	2.053026939003406	0.040069964892086696	0.08999467185007035
TU3299	157.4155132923641	0.3455964543346671	0.16832434060053988	2.0531579277344196	0.040057263321216535	0.08999467185007035
TU3330	1765.6004019876593	0.18361987059291593	0.08945879273533358	2.052563699760186	0.040114911172546494	0.0900451729511416
TU1324	355.567279397543	0.2661749699842571	0.12970982626356403	2.0520802290136646	0.04016186603492707	0.09005905680338344
TU1393	14.938290965445272	1.0676597166718973	0.5203475042341561	2.051820577564356	0.040187102717144596	0.09005905680338344
TU1810	218.8061807500938	0.2973316652514249	0.1449121501573879	2.0518063180243713	0.04018848905493963	0.09005905680338344
TU1874	141.77355513526763	0.3803713093640974	0.1854242845249746	2.05135648946169	0.04023224301326306	0.0900699522969532
TU3289	483.7563114910964	0.2357337679364766	0.11491951976121378	2.0512944052176465	0.04023828499971145	0.0900699522969532
TU755	260.03709229735125	0.2901535967223936	0.14146837085596925	2.0510139119210096	0.04026559196459331	0.09008078023775366
TU1539	175.91976685955518	-0.35802818626610355	0.17460486713454204	-2.050505190042752	0.04031515784852072	0.09009111918323276
TU2648	2328.5614309644175	-0.33999545944844467	0.16580207727653676	-2.050610372518889	0.04030490544927006	0.09009111918323276
TU1452	69.89276197315569	-0.44855240038757	0.21904901864536033	-2.047726135280135	0.040586841491654424	0.09064771450698751
TU2073	23.634882375629708	-0.6489852030849171	0.31729881834213103	-2.045343901612459	0.040820965389396224	0.09110954996319896
TU2355	38.52503314348709	0.774812693206475	0.378894564515806	2.044929554998018	0.04086180365024488	0.09110954996319896
TU6082	689.5746452971523	0.4241698887190244	0.20740301687997814	2.0451481135613707	0.04084025806919238	0.09110954996319896
TU3382	79.8898773670269	-0.3773592033607874	0.18479733390216868	-2.042016491214968	0.041149895520983686	0.09170090669462123
TU1210	8.711909338492594	-1.075500580819519	0.5269091768243865	-2.0411498378172532	0.04123593592177432	0.09184159283910735
TU5008	33.653562032999794	-0.5766255365333843	0.28260178062159974	-2.040417209208879	0.04130878930140967	0.091952768633732
TU1356	30.344839631476297	0.6221081977728218	0.30500197455975664	2.039685804233825	0.041381629716287324	0.09206379219344943
TU2897	4.734883754947593	-1.6786065799787302	0.8234237297178846	-2.038569595940406	0.04149300224437463	0.09220922727145116
TU6096	262.05430414444476	0.3469859321200415	0.17019905630436966	2.038706557218044	0.04147932293690867	0.09220922727145116
TU309	1475.9429801161791	-0.34891316204470335	0.17127238980945952	-2.037182773200451	0.04163172950326543	0.09246626237041057
TU3224	28.218419573340896	0.7582914113187486	0.37255334784978783	2.035390141291896	0.041811632528963624	0.09278781998209823
TU6097	67.6671930550369	0.42532637346690133	0.2089769262186883	2.0352791150818708	0.041822796385046525	0.09278781998209823
