locus_tag	GOterm
sll0262	GO:0016213
sll0270	GO:0006260
sll0270	GO:0005524
sll0270	GO:0008026
sll0270	GO:0003677
sll0270	GO:0004386
sll0270	GO:0003676
sll0270	GO:0006268
sll0270	GO:0006269
sll0270	GO:0006270
sll0270	GO:0006302
sll0270	GO:0006310
sll0270	GO:0008270
sll0270	GO:0043138
sll0270	GO:1990077
sll0273	GO:0006812
sll0273	GO:0055085
sll0273	GO:0016021
sll0273	GO:0015299
sll0273	GO:0005886
sll0273	GO:0015385
sll0273	GO:0015386
sll0273	GO:0051453
sll0273	GO:0071805
sll0273	GO:0098719
sll0286	GO:0008152
sll0286	GO:0008080
sll0288	GO:0000917
sll0288	GO:0051726
sll0288	GO:0000902
sll0288	GO:0036214
sll0288	GO:1901891
sll0289	GO:0000918
sll0289	GO:0016887
sll0289	GO:0000917
sll0289	GO:0005524
sll0289	GO:0005829
sll0289	GO:0005886
sll0289	GO:0009898
sll0289	GO:0036214
sll0289	GO:0051782
sll0290	GO:0006799
sll0290	GO:0009358
sll0290	GO:0008976
sll0290	GO:0005524
sll0290	GO:0046872
sll0306	GO:0006355
sll0306	GO:0006352
sll0306	GO:0003677
sll0306	GO:0016987
sll0306	GO:0003700
sll0310	GO:0008152
sll0310	GO:0008080
sll0312	GO:0006810
sll0312	GO:0016020
sll0312	GO:0005215
sll0312	GO:0005886
sll0312	GO:0016021
sll0312	GO:0055085
sll0314	GO:0005488
sll0314	GO:0030288
sll0315	GO:0006313
sll0315	GO:0003677
sll0315	GO:0004803
sll0002	GO:0009252
sll0002	GO:0009273
sll0002	GO:0046677
sll0002	GO:0009274
sll0002	GO:0003824
sll0002	GO:0008658
sll0002	GO:0008233
sll0002	GO:0016763
sll0002	GO:0004180
sll0002	GO:0008144
sll0002	GO:0008955
sll0002	GO:0016021
sll0041	GO:0006935
sll0041	GO:0018298
sll0041	GO:0045449
sll0041	GO:0007600
sll0041	GO:0007165
sll0041	GO:0016021
sll0041	GO:0016020
sll0041	GO:0008020
sll0041	GO:0004871
sll0041	GO:0004888
sll0068	GO:0005488
sll0068	GO:0016491
sll0068	GO:0030089
sll0107	GO:0008152
sll0107	GO:0003824
sll0107	GO:0016829
sll0267	GO:0006355
sll0267	GO:0007165
sll0267	GO:0000160
sll0267	GO:0004871
sll0267	GO:0000155
sll0267	GO:0016021
sll0271	GO:0006355
sll0271	GO:0006353
sll0271	GO:0003723
sll0271	GO:0003715
sll0271	GO:0005829
sll0271	GO:0031564
sll0040	GO:0006935
sll0040	GO:0007165
sll0040	GO:0005622
sll0040	GO:0004871
sll0040	GO:0005829
sll0191	GO:0055114
sll0191	GO:0031418
sll0191	GO:0005506
sll0191	GO:0016705
sll0191	GO:0051213
sll0264	GO:0055114
sll0264	GO:0051537
sll0264	GO:0016491
sll0264	GO:0016021
sll0264	GO:0046872
sll0135	GO:0009116
sll0135	GO:0003824
sll0135	GO:0016763
sll0135	GO:0004731
sll0135	GO:0005737
sll0135	GO:0005829
sll0135	GO:0006166
sll0135	GO:0017061
sll0135	GO:0019509
sll0047	GO:0016021
sll0047	GO:0009523
sll0047	GO:0015979
sll0047	GO:0042651
sll0317	GO:0006313
sll0317	GO:0003677
sll0317	GO:0003676
sll0317	GO:0004803
sll0317	GO:0016021
sll0320	GO:0006139
sll0320	GO:0005622
sll0320	GO:0008408
sll0320	GO:0003676
sll0321	GO:0016491
sll0321	GO:0005737
sll0322	GO:0030528
sll0322	GO:0008270
sll0322	GO:0003725
sll0322	GO:0016743
sll0322	GO:0016874
sll0322	GO:0046944
sll0322	GO:0051604
sll0329	GO:0008152
sll0329	GO:0055114
sll0329	GO:0006098
sll0329	GO:0050661
sll0329	GO:0005488
sll0329	GO:0003824
sll0329	GO:0050662
sll0329	GO:0016491
sll0329	GO:0004616
sll0329	GO:0005829
sll0329	GO:0009051
sll0329	GO:0046177
sll0330	GO:0008152
sll0330	GO:0055114
sll0330	GO:0005488
sll0330	GO:0003824
sll0330	GO:0016491
sll0336	GO:0006633
sll0336	GO:0009317
sll0336	GO:0003989
sll0336	GO:0016874
sll0336	GO:0005524
sll0336	GO:0008270
sll0336	GO:0016743
sll0336	GO:2001295
sll0355	GO:0016020
sll0355	GO:0005886
sll0355	GO:0016021
sll0356	GO:0008152
sll0356	GO:0006568
sll0356	GO:0003824
sll0356	GO:0004640
sll0356	GO:0000162
sll0360	GO:0016020
sll0360	GO:0004222
sll0360	GO:0016021
sll0360	GO:0071586
sll0362	GO:0006419
sll0362	GO:0043039
sll0362	GO:0006412
sll0362	GO:0005737
sll0362	GO:0005524
sll0362	GO:0004813
sll0362	GO:0016876
sll0362	GO:0003676
sll0362	GO:0000166
sll0362	GO:0000049
sll0362	GO:0002161
sll0362	GO:0006400
sll0362	GO:0008270
sll0362	GO:0016597
sll0368	GO:0009116
sll0368	GO:0004845
sll0368	GO:0006355
sll0371	GO:0006278
sll0371	GO:0003723
sll0371	GO:0003964
sll0373	GO:0008152
sll0373	GO:0055114
sll0373	GO:0006561
sll0373	GO:0050661
sll0373	GO:0004350
sll0373	GO:0016491
sll0373	GO:0005737
sll0373	GO:0055129
sll0374	GO:0005524
sll0374	GO:0016887
sll0374	GO:0017111
sll0374	GO:0000166
sll0374	GO:0015807
sll0378	GO:0008152
sll0378	GO:0055114
sll0378	GO:0006779
sll0378	GO:0008168
sll0378	GO:0004851
sll0378	GO:0009236
sll0378	GO:0019354
sll0378	GO:0032259
sll0380	GO:0009058
sll0380	GO:0009103
sll0380	GO:0016757
sll0383	GO:0009236
sll0383	GO:0016021
sll0383	GO:0000041
sll0383	GO:0005886
sll0384	GO:0009236
sll0384	GO:0006824
sll0384	GO:0015087
sll0384	GO:0005887
sll0384	GO:0043190
sll0385	GO:0005524
sll0385	GO:0016887
sll0385	GO:0017111
sll0385	GO:0000166
sll0385	GO:0042626
sll0385	GO:0043190
sll0396	GO:0006355
sll0396	GO:0000160
sll0396	GO:0003677
sll0396	GO:0000156
sll0396	GO:0000976
sll0396	GO:0001216
sll0396	GO:0003700
sll0396	GO:0005829
sll0396	GO:0032993
sll0398	GO:0046039
sll0398	GO:0003824
sll0398	GO:0008832
sll0398	GO:0000287
sll0398	GO:0006203
sll0400	GO:0008969
sll0400	GO:0005737
sll0400	GO:0101006
sll0402	GO:0009058
sll0402	GO:0016847
sll0402	GO:0003824
sll0402	GO:0030170
sll0402	GO:0016769
sll0402	GO:0004069
sll0402	GO:0005737
sll0404	GO:0009339
sll0404	GO:0050660
sll0404	GO:0003824
sll0404	GO:0008891
sll0404	GO:0016491
sll0404	GO:0071949
sll0409	GO:0009234
sll0409	GO:0008152
sll0409	GO:0003824
sll0409	GO:0016836
sll0409	GO:0000287
sll0409	GO:0042372
sll0409	GO:0043748
sll0410	GO:0016787
sll0410	GO:0047617
sll0415	GO:0005524
sll0415	GO:0016887
sll0415	GO:0017111
sll0415	GO:0000166
sll0416	GO:0044267
sll0416	GO:0006457
sll0416	GO:0005737
sll0416	GO:0005524
sll0416	GO:0005515
sll0416	GO:0009408
sll0416	GO:0042026
sll0416	GO:0051082
sll0416	GO:0051085
sll0416	GO:1990220
sll0418	GO:0008152
sll0418	GO:0008168
sll0418	GO:0010189
sll0418	GO:0032259
sll0418	GO:0051741
sll0418	GO:0102550
sll0420	GO:0006807
sll0420	GO:0016151
sll0420	GO:0009039
sll0420	GO:0005737
sll0420	GO:0043419
sll0421	GO:0009152
sll0421	GO:0004018
sll0421	GO:0003824
sll0421	GO:0005829
sll0421	GO:0006189
sll0421	GO:0044208
sll0421	GO:0070626
sll0422	GO:0016787
sll0422	GO:0004067
sll0422	GO:0005737
sll0422	GO:0008798
sll0422	GO:0016540
sll0424	GO:0009451
sll0424	GO:0051539
sll0424	GO:0003824
sll0424	GO:0051536
sll0427	GO:0015979
sll0427	GO:0042549
sll0427	GO:0019898
sll0427	GO:0009654
sll0427	GO:0005509
sll0427	GO:0010207
sll0427	GO:0010242
sll0427	GO:0030096
sll0428	GO:0055114
sll0428	GO:0031418
sll0428	GO:0005506
sll0428	GO:0016705
sll0428	GO:0051213
sll0430	GO:0006457
sll0430	GO:0006950
sll0430	GO:0005524
sll0430	GO:0051082
sll0430	GO:0005829
sll0430	GO:0006974
sll0430	GO:0009408
sll0430	GO:0016887
sll0441	GO:0006281
sll0441	GO:0005622
sll0441	GO:0004518
sll0451	GO:0008152
sll0451	GO:0008080
sll0451	GO:0016747
sll0454	GO:0006432
sll0454	GO:0006418
sll0454	GO:0006412
sll0454	GO:0005737
sll0454	GO:0005524
sll0454	GO:0004812
sll0454	GO:0000166
sll0454	GO:0004826
sll0454	GO:0000049
sll0454	GO:0000287
sll0455	GO:0006520
sll0455	GO:0008152
sll0455	GO:0055114
sll0455	GO:0050661
sll0455	GO:0016597
